Position;Weight;Height;Age
2;74;180;22,99
2;74;215;34,69
2;72;210;30,78
3;72;210;35,43
3;73;188;35,71
4;71;180;27,05
4;73;188;23,88
4;73;180;26,96
4;74;185;23,29
4;74;160;26,11
4;69;180;27,55
4;70;185;34,27
1;73;189;27,99
1;75;185;22,38
1;78;219;22,89
1;79;230;25,76
1;76;205;36,33
1;74;230;31,17
1;76;195;32,31
5;72;180;31,03
5;71;192;29,26
5;75;225;29,47
5;77;203;32,46
5;74;195;35,67
5;73;182;25,89
5;74;188;26,55
5;78;200;24,17
5;73;180;26,69
5;75;200;25,13
5;73;200;27,9
2;75;245;30,17
2;75;240;31,36
3;74;215;30,99
4;76;200;22,02
4;74;205;24,97
4;74;206;26,78
4;70;186;32,51
4;72;188;30,95
4;77;220;33,09
4;74;210;32,74
4;70;195;30,69
1;73;200;23,45
1;75;200;24,94
1;76;212;24,09
1;76;224;35,23
1;78;210;27,43
1;74;205;30,6
1;74;220;27,94
5;76;195;29,99
5;77;200;25,17
5;81;260;24,13
5;78;228;30,46
5;75;270;25,96
5;77;200;22,55
5;75;210;26,29
5;76;190;24,79
2;74;220;31,74
2;72;180;23,79
2;72;205;25,33
3;75;210;24,02
3;73;220;23,7
3;73;211;31,59
3;73;200;29,95
3;70;180;23,64
4;71;185;25,75
4;72;185;27,51
4;75;200;25,11
4;75;225;32,51
4;75;225;34,67
4;75;220;31,06
4;68;160;29,1
4;74;205;28,66
1;78;235;28,35
1;71;259;33,77
1;73;210;30,89
1;76;190;37,74
1;74;160;24,14
1;74;200;25,71
1;79;205;24,41
5;75;222;24,32
5;73;195;29,09
5;76;205;33,31
5;74;220;36,4
5;74;220;37,36
5;73;170;31,61
5;73;185;25,14
5;74;195;30,29
2;73;220;36,37
2;74;230;34,89
2;72;180;23,79
3;73;220;27,96
2;74;220;31,74
2;72;180;23,92
2;72;205;25,33
3;75;210;24,02
3;73;220;23,7
3;73;211;31,59
3;73;200;29,95
3;70;180;23,64
2;73;220;36,37
2;74;230;34,89
2;72;180;23,79
3;73;220;27,96
2;74;190;28,19
2;73;210;26,84
3;74;225;26,16
4;75;215;25,11
4;73;200;31,28
4;72;215;34,75
4;72;180;23,46
4;76;192;25,37
4;74;235;29,57
4;72;185;27,33
3;72;194;26,26
3;74;220;27,56
